"key","species","kingdom","phylum","class","order","family","genus"
191325,"Geodia parva","Animalia","Porifera","Demospongiae","Tetractinellida","Geodiidae","Geodia"
138918,"Mohnia parva","Animalia","Mollusca","Gastropoda","Neogastropoda","Buccinidae","Mohnia"
126824,"Caristius macropus","Animalia","Chordata","Teleostei","Scombriformes","Caristiidae","Caristius"
102417,"Ischyrocerus hanseni","Animalia","Arthropoda","Malacostraca","Amphipoda","Ischyroceridae","Ischyrocerus"
103180,"Austrosyrrhoe septentrionalis","Animalia","Arthropoda","Malacostraca","Amphipoda","Synopiidae","Austrosyrrhoe"
135961,"Sphaeronella nannonisci","Animalia","Arthropoda","Copepoda","Siphonostomatoida","Nicothoidae","Sphaeronella"
135669,"Bradypontius dentatus","Animalia","Arthropoda","Copepoda","Siphonostomatoida","Artotrogidae","Bradypontius"
142013,"Zerotula incognita","Animalia","Mollusca","Gastropoda","Littorinimorpha","Zerotulidae","Zerotula"
123969,"Henricia lisa","Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae","Henricia"
139845,"Melanella insculpta","Animalia","Mollusca","Gastropoda","Littorinimorpha","Eulimidae","Melanella"
554981,"Glorandaniotes eilae","Animalia","Arthropoda","Malacostraca","Amphipoda","Stegocephalidae","Glorandaniotes"
506016,"Dacrydium angulare","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Dacrydium"
598872,"Sphaerodoropsis discolis","Animalia","Annelida","Polychaeta","Phyllodocida","Sphaerodoridae","Sphaerodoropsis"
607195,"Sphaerodoropsis halldori","Animalia","Annelida","Polychaeta","Phyllodocida","Sphaerodoridae","Sphaerodoropsis"
412994,"Dictyophimus hirundo","Chromista","Radiozoa","Polycystina","Nassellaria","Theoperidae","Dictyophimus"
999811,"Haploniscus astraphes","Animalia","Arthropoda","Malacostraca","Isopoda","Haploniscidae","Haploniscus"
1467813,"Grigelis pyrula","Chromista","Foraminifera","Nodosariata","Nodosariida","Nodosariidae","Grigelis"
133660,"Hymedesmia (Hymedesmia) truncata","Animalia","Porifera","Demospongiae","Poecilosclerida","Hymedesmiidae","Hymedesmia"
133658,"Hymedesmia (Hymedesmia) trichoma","Animalia","Porifera","Demospongiae","Poecilosclerida","Hymedesmiidae","Hymedesmia"
133592,"Hymedesmia (Hymedesmia) latrunculioides","Animalia","Porifera","Demospongiae","Poecilosclerida","Hymedesmiidae","Hymedesmia"
366766,"Haematopus meadewaldoi","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Haematopus"
118800,"Pleurogonium pulchrum","Animalia","Arthropoda","Malacostraca","Isopoda","Paramunnidae","Pleurogonium"
157919,"Campanularia groenlandica","Animalia","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Campanularia"
556283,"Nodosaria haliensis","Chromista","Foraminifera","Nodosariata","Nodosariida","Nodosariidae","Nodosaria"
118482,"Quantanthura tyri","Animalia","Arthropoda","Malacostraca","Isopoda","Anthuridae","Quantanthura"
423729,"Rostroculodes schneideri","Animalia","Arthropoda","Malacostraca","Amphipoda","Oedicerotidae","Rostroculodes"
247590,"Leptognathia tuberculata","Animalia","Arthropoda","Malacostraca","Tanaidacea","Leptognathiidae","Leptognathia"
132508,"Phakellia lambei","Animalia","Porifera","Demospongiae","Bubarida","Bubaridae","Phakellia"
170677,"Radiella sol","Animalia","Porifera","Demospongiae","Polymastiida","Polymastiidae","Radiella"
123680,"Novodinia pandina","Animalia","Echinodermata","Asteroidea","Brisingida","Brisingidae","Novodinia"
137545,"Thalassodrilus firmus","Animalia","Annelida","Clitellata","Tubificida","Naididae","Thalassodrilus"
102577,"Hippomedon nasutus","Animalia","Arthropoda","Malacostraca","Amphipoda","Tryphosidae","Hippomedon"
141428,"Basilissopsis watsoni","Animalia","Mollusca","Gastropoda","Seguenziida","Seguenziidae","Basilissopsis"
165992,"Higginsia coralloides","Animalia","Porifera","Demospongiae","Axinellida","Stelligeridae","Higginsia"
285462,"Salacia fraseri","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Salacia"
158691,"Brevoortia tyrannus","Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Brevoortia"
849339,"Flexammina islandica","Chromista","Foraminifera","Monothalamea",NA,NA,"Flexammina"
100887,"Edwardsia islandica","Animalia","Cnidaria","Anthozoa","Actiniaria","Edwardsiidae","Edwardsia"
767957,"Renicola somateriae","Animalia","Platyhelminthes","Trematoda","Plagiorchiida","Renicolidae","Renicola"
374795,"Spongomorpha hystrix","Plantae","Chlorophyta","Chlorophyceae","Acrosiphoniales","Acrosiphoniaceae","Spongomorpha"
1006572,"Skrjabinoclava albae","Animalia","Nematoda","Chromadorea","Rhabditida","Acuariidae","Skrjabinoclava"
1006580,"Skrjabinoclava snorrasoni","Animalia","Nematoda","Chromadorea","Rhabditida","Acuariidae","Skrjabinoclava"
100940,"Amphianthus islandicus","Animalia","Cnidaria","Anthozoa","Actiniaria","Amphianthidae","Amphianthus"
139841,"Melanella gagei","Animalia","Mollusca","Gastropoda","Littorinimorpha","Eulimidae","Melanella"
145316,"Coilodesme bulligera","Chromista","Ochrophyta","Phaeophyceae","Ectocarpales","Chordariaceae","Coilodesme"
135916,"Homoeoscelis longipes","Animalia","Arthropoda","Copepoda","Siphonostomatoida","Nicothoidae","Homoeoscelis"
1006579,"Ancyracanthopsis schikhobalovi","Animalia","Nematoda","Chromadorea","Rhabditida","Acuariidae","Ancyracanthopsis"
1006575,"Skrjabinoclava kristjani","Animalia","Nematoda","Chromadorea","Rhabditida","Acuariidae","Skrjabinoclava"
