"key","species","kingdom","phylum","class","order","family","genus","n_pts","n_rawpts","n_sdmpts"
103312,"Antipathes furcata","Animalia","Cnidaria","Anthozoa","Antipatharia","Antipathidae","Antipathes",0,0,0
291174,"Tanacetipathes cavernicola","Animalia","Cnidaria","Anthozoa","Antipatharia","Myriopathidae","Tanacetipathes",0,0,1
135160,"Hoplangia durotrix","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Hoplangia",98,393,146
103333,"Stichopathes flagellum","Animalia","Cnidaria","Anthozoa","Antipatharia","Antipathidae","Stichopathes",2,6,6
125394,"Placogorgia intermedia","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Paramuriceidae","Placogorgia",6,18,9
103326,"Leiopathes glaberrima","Animalia","Cnidaria","Anthozoa","Antipatharia","Leiopathidae","Leiopathes",28,116,36
135134,"Caryophyllia (Caryophyllia) alberti","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Caryophyllia",35,92,48
135153,"Dasmosmilia variegata","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Dasmosmilia",7,15,7
135182,"Balanophyllia (Balanophyllia) thalassae","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Balanophyllia",16,58,25
125397,"Spinimuricea atlantica","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Paramuriceidae","Spinimuricea",0,2,1
177846,"Lepidisis cyanae","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Keratoisididae","Lepidisis",0,0,1
125366,"Eunicella verrucosa","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Eunicellidae","Eunicella",642,11361,839
816001,"Bathypathes robusta","Animalia","Cnidaria","Anthozoa","Antipatharia","Schizopathidae","Bathypathes",2,7,3
125358,"Ellisella paraplexauroides","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Ellisellidae","Ellisella",8,14,10
1522164,"Eunicella filiformis","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Eunicellidae","Eunicella",1,8,5
283935,"Antipathes viminalis","Animalia","Cnidaria","Anthozoa","Antipatharia","Antipathidae","Antipathes",8,33,9
128506,"Funiculina quadrangularis","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Funiculinidae","Funiculina",747,2933,961
125331,"Alcyonium acaule","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Alcyoniidae","Alcyonium",151,959,172
103309,"Antipathes dichotoma","Animalia","Cnidaria","Anthozoa","Antipatharia","Antipathidae","Antipathes",22,152,30
103330,"Stichopathes abyssicola","Animalia","Cnidaria","Anthozoa","Antipatharia","Antipathidae","Stichopathes",11,17,11
286036,"Telestula verseveldti","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Sarcodictyonidae","Telestula",0,1,1
125375,"Keratoisis flexibilis","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Keratoisididae","Keratoisis",0,1,1
103327,"Leiopathes grimaldii","Animalia","Cnidaria","Anthozoa","Antipatharia","Leiopathidae","Leiopathes",6,9,10
135146,"Cladocora caespitosa","Animalia","Cnidaria","Anthozoa","Scleractinia","Cladocoridae","Cladocora",435,3081,729
125334,"Alcyonium palmatum","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Alcyoniidae","Alcyonium",235,418,260
125416,"Corallium rubrum","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Coralliidae","Corallium",564,5366,709
135210,"Oculina patagonica","Animalia","Cnidaria","Anthozoa","Scleractinia","Oculinidae","Oculina",64,325,110
132159,"Alcyonium glomeratum","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Alcyoniidae","Alcyonium",399,4249,493
125343,"Scyphopodium ingolfi","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Tubiporidae","Scyphopodium",1,2,2
289303,"Abyssopathes lyra","Animalia","Cnidaria","Anthozoa","Antipatharia","Cladopathidae","Abyssopathes",1,1,17
